date,path,category,sessions
2023-01-13,/product/product-id-0/,cat1,29
2023-01-13,/product/product-id-1/,cat2,46
2023-01-13,/product/product-id-2/,cat9,11
2023-01-13,/product/product-id-3/,cat4,13
2023-01-13,/product/product-id-4/,cat7,34
2023-01-13,/product/product-id-5/,cat4,44
2023-01-13,/product/product-id-6/,cat7,46
2023-01-13,/product/product-id-7/,cat1,4
2023-01-13,/product/product-id-8/,cat3,49
2023-01-13,/product/product-id-9/,cat4,14
2023-01-13,/product/product-id-10/,cat6,46
2023-01-13,/product/product-id-11/,cat3,26
2023-01-13,/product/product-id-12/,cat1,11
2023-01-13,/product/product-id-13/,cat4,8
2023-01-13,/product/product-id-14/,cat4,21
2023-01-13,/product/product-id-15/,cat5,13
2023-01-13,/product/product-id-16/,cat7,37
2023-01-13,/product/product-id-17/,cat8,15
2023-01-13,/product/product-id-18/,cat4,39
2023-01-13,/product/product-id-19/,cat8,39
2023-01-13,/product/product-id-20/,cat3,21
2023-01-13,/product/product-id-21/,cat4,36
2023-01-13,/product/product-id-22/,cat1,37
2023-01-13,/product/product-id-23/,cat8,31
2023-01-13,/product/product-id-24/,cat2,5
2023-01-13,/product/product-id-25/,cat1,17
2023-01-13,/product/product-id-26/,cat3,18
2023-01-13,/product/product-id-27/,cat7,48
2023-01-13,/product/product-id-28/,cat4,23
2023-01-13,/product/product-id-29/,cat9,37
2023-01-13,/product/product-id-30/,cat2,16
2023-01-13,/product/product-id-31/,cat5,10
2023-01-13,/product/product-id-32/,cat8,38
2023-01-13,/product/product-id-33/,cat6,10
2023-01-13,/product/product-id-34/,cat2,7
2023-01-13,/product/product-id-35/,cat5,48
2023-01-13,/product/product-id-36/,cat7,9
2023-01-13,/product/product-id-37/,cat9,49
2023-01-13,/product/product-id-38/,cat4,4
2023-01-13,/product/product-id-39/,cat2,1
2023-01-13,/product/product-id-40/,cat8,39
2023-01-13,/product/product-id-41/,cat8,7
2023-01-13,/product/product-id-42/,cat3,39
2023-01-13,/product/product-id-43/,cat4,36
2023-01-13,/product/product-id-44/,cat4,5
2023-01-13,/product/product-id-45/,cat6,5
2023-01-13,/product/product-id-46/,cat2,4
2023-01-13,/product/product-id-47/,cat2,47
2023-01-13,/product/product-id-48/,cat6,28
2023-01-13,/product/product-id-49/,cat4,43
2023-01-13,/product/product-id-50/,cat8,34
2023-01-13,/product/product-id-51/,cat9,44
2023-01-13,/product/product-id-52/,cat6,16
2023-01-13,/product/product-id-53/,cat3,6
2023-01-13,/product/product-id-54/,cat6,38
2023-01-13,/product/product-id-55/,cat3,30
2023-01-13,/product/product-id-56/,cat8,33
2023-01-13,/product/product-id-57/,cat5,1
2023-01-13,/product/product-id-58/,cat3,37
2023-01-13,/product/product-id-59/,cat4,36
2023-01-13,/product/product-id-60/,cat6,3
2023-01-13,/product/product-id-61/,cat8,6
2023-01-13,/product/product-id-62/,cat3,30
2023-01-13,/product/product-id-63/,cat9,32
2023-01-13,/product/product-id-64/,cat2,29
2023-01-13,/product/product-id-65/,cat1,40
2023-01-13,/product/product-id-66/,cat1,32
2023-01-13,/product/product-id-67/,cat5,6
2023-01-13,/product/product-id-68/,cat1,29
2023-01-13,/product/product-id-69/,cat4,26
2023-01-13,/product/product-id-70/,cat5,48
2023-01-13,/product/product-id-71/,cat5,14
2023-01-13,/product/product-id-72/,cat4,36
2023-01-13,/product/product-id-73/,cat3,45
2023-01-13,/product/product-id-74/,cat3,50
2023-01-13,/product/product-id-75/,cat7,15
2023-01-13,/product/product-id-76/,cat5,12
2023-01-13,/product/product-id-77/,cat7,23
2023-01-13,/product/product-id-78/,cat5,9
2023-01-13,/product/product-id-79/,cat3,36
2023-01-13,/product/product-id-80/,cat5,10
2023-01-13,/product/product-id-81/,cat7,20
