date,path,category,sessions
2023-01-05,/product/product-id-0/,cat9,23
2023-01-05,/product/product-id-1/,cat2,37
2023-01-05,/product/product-id-2/,cat9,34
2023-01-05,/product/product-id-3/,cat2,5
2023-01-05,/product/product-id-4/,cat5,48
2023-01-05,/product/product-id-5/,cat7,15
2023-01-05,/product/product-id-6/,cat4,38
2023-01-05,/product/product-id-7/,cat9,42
2023-01-05,/product/product-id-8/,cat7,29
2023-01-05,/product/product-id-9/,cat4,20
2023-01-05,/product/product-id-10/,cat8,5
2023-01-05,/product/product-id-11/,cat4,7
2023-01-05,/product/product-id-12/,cat9,29
2023-01-05,/product/product-id-13/,cat7,50
2023-01-05,/product/product-id-14/,cat6,35
2023-01-05,/product/product-id-15/,cat1,46
2023-01-05,/product/product-id-16/,cat3,27
2023-01-05,/product/product-id-17/,cat1,29
2023-01-05,/product/product-id-18/,cat1,4
2023-01-05,/product/product-id-19/,cat9,48
2023-01-05,/product/product-id-20/,cat7,9
2023-01-05,/product/product-id-21/,cat7,41
2023-01-05,/product/product-id-22/,cat2,22
2023-01-05,/product/product-id-23/,cat5,40
2023-01-05,/product/product-id-24/,cat1,34
2023-01-05,/product/product-id-25/,cat1,36
2023-01-05,/product/product-id-26/,cat1,36
2023-01-05,/product/product-id-27/,cat5,4
2023-01-05,/product/product-id-28/,cat8,45
2023-01-05,/product/product-id-29/,cat2,20
2023-01-05,/product/product-id-30/,cat2,17
2023-01-05,/product/product-id-31/,cat6,9
2023-01-05,/product/product-id-32/,cat5,9
2023-01-05,/product/product-id-33/,cat1,24
2023-01-05,/product/product-id-34/,cat7,23
2023-01-05,/product/product-id-35/,cat5,13
2023-01-05,/product/product-id-36/,cat2,43
2023-01-05,/product/product-id-37/,cat9,47
2023-01-05,/product/product-id-38/,cat8,6
2023-01-05,/product/product-id-39/,cat2,5
2023-01-05,/product/product-id-40/,cat3,27
2023-01-05,/product/product-id-41/,cat2,8
2023-01-05,/product/product-id-42/,cat1,38
2023-01-05,/product/product-id-43/,cat5,4
2023-01-05,/product/product-id-44/,cat7,37
2023-01-05,/product/product-id-45/,cat2,41
2023-01-05,/product/product-id-46/,cat8,7
2023-01-05,/product/product-id-47/,cat7,15
2023-01-05,/product/product-id-48/,cat7,35
2023-01-05,/product/product-id-49/,cat8,11
2023-01-05,/product/product-id-50/,cat1,29
2023-01-05,/product/product-id-51/,cat9,8
2023-01-05,/product/product-id-52/,cat5,1
2023-01-05,/product/product-id-53/,cat2,39
2023-01-05,/product/product-id-54/,cat7,13
2023-01-05,/product/product-id-55/,cat3,1
2023-01-05,/product/product-id-56/,cat5,27
2023-01-05,/product/product-id-57/,cat4,27
2023-01-05,/product/product-id-58/,cat5,36
2023-01-05,/product/product-id-59/,cat3,13
