date,path,category,sessions
2023-01-20,/product/product-id-0/,cat2,29
2023-01-20,/product/product-id-1/,cat5,30
2023-01-20,/product/product-id-2/,cat7,11
2023-01-20,/product/product-id-3/,cat1,41
2023-01-20,/product/product-id-4/,cat4,3
2023-01-20,/product/product-id-5/,cat6,36
2023-01-20,/product/product-id-6/,cat4,40
2023-01-20,/product/product-id-7/,cat1,25
2023-01-20,/product/product-id-8/,cat5,46
2023-01-20,/product/product-id-9/,cat6,30
2023-01-20,/product/product-id-10/,cat7,22
2023-01-20,/product/product-id-11/,cat2,50
2023-01-20,/product/product-id-12/,cat1,35
2023-01-20,/product/product-id-13/,cat8,13
2023-01-20,/product/product-id-14/,cat3,41
2023-01-20,/product/product-id-15/,cat3,3
2023-01-20,/product/product-id-16/,cat1,32
2023-01-20,/product/product-id-17/,cat8,49
2023-01-20,/product/product-id-18/,cat6,6
2023-01-20,/product/product-id-19/,cat3,39
2023-01-20,/product/product-id-20/,cat1,16
2023-01-20,/product/product-id-21/,cat3,31
2023-01-20,/product/product-id-22/,cat7,31
2023-01-20,/product/product-id-23/,cat3,45
2023-01-20,/product/product-id-24/,cat4,29
2023-01-20,/product/product-id-25/,cat8,8
2023-01-20,/product/product-id-26/,cat4,5
2023-01-20,/product/product-id-27/,cat8,31
2023-01-20,/product/product-id-28/,cat3,19
2023-01-20,/product/product-id-29/,cat2,26
2023-01-20,/product/product-id-30/,cat5,46
2023-01-20,/product/product-id-31/,cat1,19
2023-01-20,/product/product-id-32/,cat8,10
2023-01-20,/product/product-id-33/,cat6,21
2023-01-20,/product/product-id-34/,cat4,45
2023-01-20,/product/product-id-35/,cat2,1
2023-01-20,/product/product-id-36/,cat1,1
2023-01-20,/product/product-id-37/,cat6,35
2023-01-20,/product/product-id-38/,cat4,43
2023-01-20,/product/product-id-39/,cat4,10
2023-01-20,/product/product-id-40/,cat5,21
2023-01-20,/product/product-id-41/,cat6,27
2023-01-20,/product/product-id-42/,cat3,35
2023-01-20,/product/product-id-43/,cat6,38
2023-01-20,/product/product-id-44/,cat9,1
2023-01-20,/product/product-id-45/,cat3,23
2023-01-20,/product/product-id-46/,cat9,13
2023-01-20,/product/product-id-47/,cat4,48
2023-01-20,/product/product-id-48/,cat4,12
2023-01-20,/product/product-id-49/,cat9,23
2023-01-20,/product/product-id-50/,cat4,14
2023-01-20,/product/product-id-51/,cat4,37
2023-01-20,/product/product-id-52/,cat2,45
2023-01-20,/product/product-id-53/,cat3,18
2023-01-20,/product/product-id-54/,cat8,4
2023-01-20,/product/product-id-55/,cat4,47
2023-01-20,/product/product-id-56/,cat2,40
2023-01-20,/product/product-id-57/,cat1,18
2023-01-20,/product/product-id-58/,cat9,4
2023-01-20,/product/product-id-59/,cat1,4
2023-01-20,/product/product-id-60/,cat9,34
2023-01-20,/product/product-id-61/,cat6,3
2023-01-20,/product/product-id-62/,cat2,17
2023-01-20,/product/product-id-63/,cat4,7
2023-01-20,/product/product-id-64/,cat9,48
2023-01-20,/product/product-id-65/,cat9,45
2023-01-20,/product/product-id-66/,cat4,5
2023-01-20,/product/product-id-67/,cat7,12
2023-01-20,/product/product-id-68/,cat5,38
